DW_TEMPO;invoice_date;_year;_month;_quarter
60793fd0c2a9f331d47b1247e76018064afdb7cc7d2547a2968024a41b7a5134;2019-01-02;2019;1;1
421a08a3859999ae9d551f2d9c136c9c1abc031faa0e2f6f7cdcfc9ad77a62bf;2018-01-01;2018;1;1
d000403b43089edeeb81760177efb67c6065c2045b5dd7cf86c464a0b6b451aa;2017-12-27;2017;12;4
9fb749fd95e5eb9576ab8a948802cc3993426f145bf6c2e952da967507e012a8;2017-04-27;2017;4;2
673774ca8dffb21b38c14749eeaaadc1bc408bfe71d09f6fee82bab7dba1ed8e;2018-06-17;2018;6;2
ed73e74c9f4385e3f03efb21b071bee54e56e51beadd35af863394517a387287;2017-04-02;2017;4;2
3b9b51f6b5fdcf09e4a1379a9e7db1779515378fdacfd886781654f113eb4752;2017-07-01;2017;7;3
b7b05ff8f4cf5f5abc03c9cc76b4baac1e55234b7c1766ba06aa586817fc4e34;2018-09-04;2018;9;3
1a4bcbd4b822e8ccf0e50c819b552cda019135f3c54f634c996e6084f33463e6;2017-03-29;2017;3;1
702b67ccfe554cbd2d24881d5256ff0ff34f81dc07d2e1dcfdc8e5d0b815c6a1;2017-05-17;2017;5;2
92923dd1125d63d8c3b64e2405defcf413bf42308264ae247b1035adc4fc9c7f;2018-12-05;2018;12;4
0281ea88cf86caf24460b952ef7321510fbb22161f7eef555bfa6d0bede76283;2017-07-14;2017;7;3
be574b6fe1a892854bb8f56c88725cf0f8ea0296e2e69a55f0fb7e207f6d0a00;2017-11-24;2017;11;4
3ca1a7f7881b919a3f34bbfcee6eac143289c876cd6d520a2009a4a176b1c2aa;2017-06-03;2017;6;2
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;"";"";"";""
74da198f52a257055eaa07c2caf882250b097c230d55c4f3188a31841cb1254a;2018-08-22;2018;8;3
7f09604ddcd88e448ad172f5e947b9c890b41e92f9068b5df4dda99abf3efffa;2018-03-13;2018;3;1
9dd41c19412cc8621d69677034a2d3179b4c413135729a035dde76af2f4d40c1;2019-02-26;2019;2;1
d2bbb8213bb300d9f7c5d04b2c73d0380992e2056b5c7608404c1765f793341f;2018-10-31;2018;10;4
8b2548655bea42e8956ddbb1a404ddb698b80612b5457e1f029f323f33a4eabc;2017-07-26;2017;7;3
d6c025a9bed69a78aaa0e04c88e49ede4174223efdb2c0018005916aaf07c28c;2017-06-15;2017;6;2
7a60833a9a2277eff4c5333e27a6ec721e80e63eab951c81e11fe88966334500;2018-05-12;2018;5;2
3b7bc22f266872bbb36f325d51bc74df81507a95bf0f7fae6e511ce78c934650;2018-07-01;2018;7;3
f3d49a32e2e3e1eba3d0eea18b82e204d5027f71e26feae54c09efdae769c87a;2017-11-30;2017;11;4
e3de2766504c2db6d5973d9493f166623eeb2ca98e0bfcff462f16dca53202f5;2018-05-21;2018;5;2
7e9826f5d013561c35665d5ab46cffe1607168d683b2e10cbbbd7cbeb11f0cf6;2019-02-21;2019;2;1
43fe885395a22ef66e84d8538586b3c8e769b78dc6e47d451514d0e8196d9b2b;2018-08-07;2018;8;3
b875a3a3dcea9149d2bb83cd1edc4860b4146ab5557551316fcfcaf5fd81b40e;2017-11-26;2017;11;4
7899b9c72d7964f29012e0de38b7c8a7e62aa7030ed1ab8d7130434e083b9507;2018-09-30;2018;9;3
6a3aee08f5a5c03d5b05fccd99a4d7a7439947e9b4e1a8ea96089d0a36bbb7e4;2018-07-28;2018;7;3
4ff2859d1a5d84a58cdded7e92b4b21240de91cf909b7afd8bdc6645d02cf498;2018-07-15;2018;7;3
22450b594928e4a54c7402e969c5caf70fefe4459e80969fae8dbfda6b635e23;2019-02-05;2019;2;1
9282779cddc9ee8c534a853db14aa9762671721c503fedc550725404a4647d66;2017-07-05;2017;7;3
cf2a00cf426d46f8f4b74574e10ebdfdc8887bc8a43a96467abae3fd001c6332;2017-05-14;2017;5;2
6e96cd00c456db1aa1b15eafb8a0167bb5614dbbb94d2cdf188e3dcd32693d84;2018-06-25;2018;6;2
19ec1ed8340cd1975d1f2cb5d3d1f0c671a792f5c2253dfa408373fb74f7ddf7;2018-02-15;2018;2;1
ca6d1eb9527dcbd9bd0a083ad4b0ebd0c9bb83be58d464f597034afcf8f0e182;2017-09-02;2017;9;3
